id,title,genres,averageRating,numVotes,releaseYear
tt34604827,Fire,Crime,9.5,10121,2025
tt0111161,"The Shawshank Redemption",Drama,9.3,3009622,1994
tt33175825,"Attack on Titan the Movie: The Last Attack","Action, Animation, Drama",9.3,11990,2024
tt0068646,"The Godfather","Crime, Drama",9.2,2100110,1972
tt0252487,"The Chaos Class",Comedy,9.2,44120,1975
tt0259534,"Ramayana: The Legend of Prince Rama","Action, Adventure, Animation",9.1,16248,1993
tt0468569,"The Dark Knight","Action, Crime, Drama",9,2986672,2008
tt0167260,"The Lord of the Rings: The Return of the King","Adventure, Drama, Fantasy",9,2057901,2003
tt0108052,"Schindler's List","Biography, Drama, History",9,1507248,1993
tt0071562,"The Godfather Part II","Crime, Drama",9,1415000,1974
tt0050083,"12 Angry Men","Crime, Drama",9,912219,1957
tt16747572,"The Silence of Swastika","Documentary, History",9,10607,2021
tt0110912,"Pulp Fiction","Crime, Drama",8.9,2307716,1994
tt0120737,"The Lord of the Rings: The Fellowship of the Ring","Adventure, Drama, Fantasy",8.9,2086865,2001
tt5354160,"Mirror Game","Crime, Mystery, Thriller",8.9,30244,2016
tt0253828,"Tosun Pasha","Comedy, History",8.9,25373,1976
tt5275892,"O.J.: Made in America","Biography, Crime, Documentary",8.9,22937,2016
tt0075143,"The Message","Action, Adventure, Biography",8.9,11202,1976
tt1375666,Inception,"Action, Adventure, Sci-Fi",8.8,2654226,2010
tt0137523,"Fight Club",Drama,8.8,2432977,1999
tt0109830,"Forrest Gump","Drama, Romance",8.8,2353504,1994
tt0167261,"The Lord of the Rings: The Two Towers","Adventure, Drama, Fantasy",8.8,1854575,2002
tt0060196,"The Good, the Bad and the Ugly","Adventure, Drama, Western",8.8,844233,1966
tt23849204,"12th Fail","Biography, Drama",8.8,142867,2023
tt14961016,"I'm Still Here","Biography, Drama, History",8.8,75907,2024
tt0252488,"The Chaos Class Failed the Class",Comedy,8.8,25316,1975
tt0253779,"The Foster Brothers","Comedy, History",8.8,21642,1976
tt0084302,"The Marathon Family","Comedy, Drama",8.8,17499,1982
tt10534500,#Home,"Drama, Family",8.8,16421,2021
tt0086935,"Balkan Spy","Comedy, Drama",8.8,12879,1984
tt2077886,"The Phantom of the Opera at the Royal Albert Hall","Drama, Musical, Romance",8.8,10321,2011
tt0816692,Interstellar,"Adventure, Drama, Sci-Fi",8.7,2287721,2014
